day,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
7,1017.4,21.2,20.6,19.9,19.4,87.0,88.0,1.1,60.0,17.2,1
7,1019.5,16.698170564778227,16.9,15.8,15.4,93.0,91.0,0.0,50.0,21.9,1
7,1024.017060996923,19.4,16.1,14.6,9.527652660279282,75.0,47.0,8.3,70.0,18.1,1
7,1013.4,18.1,17.8,16.9,16.8,93.0,93.0,0.0,60.0,35.6,1
7,1021.8,21.3,18.4,15.2,9.6,67.0,45.0,3.6,40.0,24.8,0
7,1022.7,20.6,18.6,16.5,12.5,79.0,81.0,0.0,20.0,15.7,1
7,1022.8,19.5,18.4,15.3,11.3,67.0,46.0,7.6,20.0,28.4,0
8,1019.7,16.698170564778227,14.8,12.7,11.8,93.0,93.0,0.0,50.0,39.5,1
9,1017.4,17.6,16.5,15.6,12.5,86.0,93.0,0.0,50.0,37.5,1
10,1024.017060996923,16.698170564778227,14.8,12.7,9.527652660279282,77.0,84.0,1.0,50.0,38.3,0
11,1016.8,16.698170564778227,15.3,14.1,14.0,93.0,93.0,0.0,40.0,24.4,1
12,1012.5,16.698170564778227,15.2,14.0,12.4,93.0,93.0,0.0,50.0,23.5,1
13,1020.4,16.698170564778227,15.5,13.2,12.0,77.0,86.0,0.0,50.0,32.4,1
14,1012.5,16.698170564778227,14.8,12.7,11.8,87.0,92.0,0.0,50.0,37.0,1
15,1018.4,17.8,16.5,15.1,12.1,77.0,85.0,1.2,40.0,20.9,1
16,1024.017060996923,16.698170564778227,14.8,12.7,11.2,79.0,91.0,0.3,20.0,20.0,1
17,1022.5,16.698170564778227,14.8,12.7,9.527652660279282,79.0,70.0,6.8,20.0,30.3,1
18,1024.017060996923,17.5,16.2,14.1,11.8,68.0,60.0,2.5,50.0,13.4,0
19,1024.017060996923,16.8,15.8,14.0,12.9,76.0,77.0,0.0,20.0,20.5,1
20,1020.2,16.698170564778227,14.8,12.7,11.6,75.0,93.0,0.1,40.0,21.9,1
21,1022.4,17.7,16.4,14.8,11.3,92.0,88.0,0.4,30.0,39.5,1
22,1022.6,21.9,17.8,15.8,14.3,67.0,49.0,9.1,50.0,10.2,0
23,1020.6,18.5,17.3,16.9,16.8,93.0,93.0,0.0,60.0,39.5,1
24,1013.0,24.8,19.9,17.1,18.1,90.0,92.0,0.0,70.0,30.4,1
25,1012.5,23.8,22.2,20.4,20.8,84.0,88.0,0.0,70.0,30.2,1
26,1019.5,25.3,22.3,21.0,20.6,76.0,78.0,10.2,80.0,10.2,1
27,1013.4,23.8,21.1,19.8,19.6,92.0,93.0,0.0,40.0,15.9,1
28,1017.0,21.7,20.3,19.4,17.9,80.0,80.0,2.6,50.0,14.5,1
29,1019.9,22.9,20.9,19.2,17.3,86.0,79.0,0.6,50.0,21.4,1
30,1018.1,23.1,20.8,19.2,15.5,74.0,49.0,7.7,40.0,14.3,0
31,1018.5,21.3,20.3,19.3,15.3,75.0,69.0,7.7,70.0,35.1,1
32,1019.5,23.2,22.1,20.1,18.8,82.0,69.0,1.1,40.0,20.5,0
33,1020.4,21.3,18.8,17.3,13.6,67.0,56.0,2.9,40.0,21.3,0
34,1024.017060996923,21.6,19.3,17.4,15.3,90.0,93.0,4.3,70.0,35.3,1
35,1017.0,21.5,20.6,18.6,17.0,91.0,88.0,0.0,50.0,14.3,1
36,1023.1,18.2,17.1,16.3,9.527652660279282,78.0,89.0,0.0,50.0,28.4,0
37,1014.4,22.9,21.4,20.0,17.8,79.0,88.0,0.0,40.0,18.4,1
38,1021.8,21.1,18.2,17.8,16.9,74.0,44.0,9.5,20.0,26.7,0
39,1023.1,20.4,17.8,14.8,15.0,75.0,43.0,9.2,60.0,11.9,0
40,1018.9,21.9,19.3,17.2,16.9,79.0,90.0,0.0,50.0,28.8,1
41,1017.1,23.4,21.7,19.6,19.0,88.0,83.0,2.3,40.0,29.6,1
42,1015.8,21.2,19.4,17.3,17.0,75.0,46.0,4.1,20.0,19.0,0
43,1013.1,21.4,20.9,19.4,17.8,83.0,88.0,0.0,30.0,20.8,1
44,1015.2,18.9,17.7,16.9,16.8,90.0,90.0,0.0,60.0,34.2,1
45,1017.4,16.698170564778227,15.5,13.6,11.4,72.0,43.0,8.8,40.0,27.3,1
46,1016.9,17.5,15.5,14.8,14.6,91.0,91.0,0.0,20.0,33.4,1
47,1018.1,20.6,16.1,14.2,12.2,79.0,89.0,1.0,20.0,10.7,1
48,1016.5,21.6,19.2,17.5,19.0,93.0,92.0,0.3,40.0,9.055915337989045,1
49,1016.8,21.3,19.5,17.6,17.6,75.0,70.0,2.2,50.0,16.5,0
50,1023.6,18.8,16.0,14.8,12.4,72.0,40.0,9.5,20.0,9.8,1
51,1024.017060996923,17.2,15.6,12.8,9.527652660279282,79.0,49.0,9.1,20.0,35.3,0
52,1016.3,22.3,19.2,18.2,18.5,93.0,88.0,0.3,70.0,9.9,1
53,1019.6,18.4,17.1,16.0,16.3,93.0,93.0,0.0,70.0,19.0,1
54,1018.8,22.5,20.1,19.1,16.4,76.0,71.0,6.1,40.0,20.5,0
55,1016.5,20.6,18.1,17.0,16.3,76.0,88.0,0.0,60.0,39.5,1
56,1016.8,21.3,19.7,18.2,18.9,93.0,91.0,0.0,40.0,10.2,1
57,1012.0,20.9,20.9,19.1,14.9,86.0,80.0,1.6,60.0,13.8,0
58,1020.4,25.9,21.6,19.8,17.0,79.0,70.0,7.8,40.0,24.4,1
59,1014.4,25.3,21.9,19.1,19.6,86.0,82.0,1.6,40.0,27.3,1
60,1013.3,22.4,20.5,20.3,17.8,91.0,80.0,0.0,40.0,25.0,1
61,1018.1,21.3,20.3,19.9,18.9,92.0,88.0,0.0,40.0,28.4,1
62,1020.4,18.2,15.9,13.5,9.9,84.0,83.0,2.3,70.0,17.2,1
63,1017.7,20.6,18.1,16.9,17.4,93.0,91.0,0.0,40.0,16.1,1
64,1017.9,21.3,19.5,18.4,15.5,76.0,72.0,7.2,70.0,25.1,0
65,1019.4,21.6,19.6,17.0,17.9,69.0,54.0,1.0,50.0,29.6,0
66,1022.7,16.698170564778227,14.8,12.7,9.527652660279282,67.0,93.0,0.1,20.0,24.5,1
67,1020.3,18.4,15.7,14.6,12.6,67.0,88.0,0.0,40.0,27.4,1
68,1014.2,18.4,18.0,17.2,17.4,93.0,93.0,0.0,40.0,22.9,1
69,1015.0,17.8,16.0,16.9,16.6,90.0,51.0,9.5,60.0,24.9,0
70,1014.6,25.1,20.0,19.0,19.5,72.0,47.0,10.666811861391826,30.0,28.8,0
71,1021.4,20.9,18.4,16.9,9.527652660279282,75.0,43.0,10.666811861391826,20.0,9.055915337989045,0
72,1015.6,25.2,21.8,19.1,19.9,83.0,80.0,3.4,70.0,16.5,0
73,1018.5,23.0,21.1,20.6,19.6,89.0,88.0,1.4,20.0,9.055915337989045,1
74,1017.1,26.3,23.3,19.2,18.8,84.0,61.0,7.6,70.0,24.8,1
75,1012.0,23.1,21.6,20.4,19.9,90.0,87.0,0.5,40.0,26.0,1
76,1012.5,26.1,23.2,21.5,20.1,87.0,88.0,3.7,40.0,28.0,1
77,1014.0,25.2,23.3,22.3,21.1,89.0,88.0,0.3,70.0,20.0,1
78,1014.0,24.9,23.1,22.4,22.8,85.0,88.0,3.2,70.0,31.2,1
79,1013.5,26.9,25.3,24.2,21.9,87.0,85.0,0.3,50.0,26.1,1
80,1011.4,27.6,20.9,19.0,13.7,77.0,91.0,0.2,40.0,15.4,1
81,1016.8,26.5,24.8,23.3,22.1,83.0,81.0,1.2,80.0,24.4,1
82,1019.8,27.6,25.4,24.0,22.3,89.0,84.0,1.6,20.0,18.6,1
83,1011.0,26.3,24.9,23.0,22.0,81.0,88.0,0.2,40.0,24.4,1
84,1010.7,24.2,23.0,21.4,17.0,86.0,80.0,1.1,70.0,9.8,1
85,1008.1,28.1,25.1,23.8,22.8,86.0,83.0,4.4,90.0,17.2,1
86,1013.0,27.2,24.8,23.4,22.3,90.0,85.0,5.9,70.0,17.2,1
87,1013.0,27.8,25.8,23.7,20.6,74.0,88.0,0.4,40.0,16.0,1
88,1012.2,27.1,25.9,24.2,22.6,86.0,84.0,1.6,70.0,17.5,1
89,1016.8,25.1,23.1,22.9,22.0,87.0,82.0,2.1,70.0,32.5,1
90,1010.1,27.2,24.8,23.3,21.6,91.0,88.0,0.3,50.0,19.6,1
91,1014.6,28.2,24.5,22.3,22.0,87.0,81.0,4.8,40.0,9.055915337989045,1
92,1013.1,28.2,24.1,22.0,22.9,89.0,81.0,1.2,70.0,31.8,1
